diameter;length;concentricity
10.003;15.009;0.007
10.003;15.006;0.001
10.002;15.002;0.003
10.002;15.009;0.014
10.004;15.005;0
10.001;15.01;0.017
9.998;15.011;0.015
9.992;15.007;0.003
10.007;15.006;0.004
9.998;15.011;0.013
10.001;15.008;0.005
10;15.009;0.009
9.996;15.012;0.003
9.999;15.01;0.004
10.003;15.009;0.02
9.997;15.006;0.016
10.001;15.009;0.003
9.999;15.008;0.013
10.004;15.008;0.01
10.004;15.004;0.011
10.003;15.008;0.009
9.999;15.01;0.01
10.005;15.005;0.01
9.999;15.007;0.005
10.002;15.013;0.005
9.998;15.008;0.007
10.007;15.011;0.003
9.998;15.007;0.001
9.997;15.008;0.006
9.999;15.01;0.014
10.001;15.012;0.009
10.001;15.009;0.008
9.999;15.006;0.008
10.001;15.01;0.013
10.001;15.007;0.003
9.997;15.01;0.022
10.004;15.005;0.004
9.999;15.012;0.008
9.998;15.007;0.013
10.002;15.011;0.007
10.003;15.011;0.01
10.001;15.008;0.011
10.005;15.007;0.01
10.003;15.011;0.01
10.001;15.012;0.007
9.997;15.007;0.007
9.998;15.01;0.01
10.001;15.01;0.001
10.004;15.013;0.002
10.004;15.011;0.016
10.006;15.01;0.013
10.006;15.009;0.015
10.009;15.011;0.013
9.999;15.011;0
9.999;15.009;0.01
10.005;15.009;0.005
10;15.013;0.002
9.997;15.009;0.021
10.001;15.006;0.002
10.001;15.007;0.008
10.005;15.011;0.018
10.001;15.008;0.001
10.006;15.009;0.014
10.003;15.009;0.012
10.001;15.008;0.009
10.001;15.011;0.005
10.006;15.006;0.012
10.001;15.01;0.015
9.999;15.01;0.01
9.999;15.008;0.005
10.003;15.007;0.015
10.003;15.009;0.016
10.003;15.011;0.022
10.004;15.013;0.009
10.004;15.008;0.003
10;15.009;0.007
10.006;15.007;0.005
10.007;15.01;0.017
9.996;15.01;0.005
10.002;15.011;0.021
10.006;15.013;0.012
9.997;15.011;0.009
10.005;15.013;0.014
10.004;15.011;0.016
10.005;15.011;0.002
9.999;15.01;0.001
10.002;15.008;0.009
10.005;15.009;0.002
10.002;15.01;0.011
10.007;15.011;0.008
9.999;15.015;0.002
10.011;15.008;0.014
10.01;15.011;0.009
10.007;15.009;0.02
10.001;15.012;0.016
10;15.007;0.001
10.003;15.01;0.005
10.005;15.012;0.007
10.005;15.012;0.02
10;15.012;0.009
10.001;15.011;0.01
10.003;15.009;0.009
10.002;15.008;0.006
10.006;15.01;0.016
9.997;15.01;0.005
10.008;15.012;0.012
10.001;15.009;0.019
10.002;15.012;0.005
9.999;15.012;0.008
10.007;15.009;0.005
10.006;15.011;0.005
10.007;15.008;0.012
10.006;15.013;0.012
10.001;15.009;0.012
10.006;15.01;0.002
10.004;15.011;0.011
10.007;15.01;0.014
10.004;15.01;0.016
10.003;15.011;0.008
10.002;15.009;0.011
10.001;15.007;0.013
10.007;15.01;0.017
10.01;15.009;0.005
9.996;15.009;0.014
10.006;15.012;0.011
10.004;15.01;0.02
10.004;15.01;0.008
10.006;15.012;0.004
10;15.007;0.019
9.999;15.012;0.001
10.009;15.013;0.01
10.007;15.008;0.016
10.002;15.012;0.004
10.004;15.013;0.012
10.012;15.01;0.015
10.002;15.012;0.012
10.005;15.011;0.01
10.007;15.013;0.014
10.008;15.012;0.003
10.004;15.013;0.011
10.006;15.011;0.011
10.003;15.012;0.005
10.008;15.01;0.012
10.009;15.011;0.015
10.005;15.016;0.01
10.002;15.01;0.003
10.004;15.012;0.008
9.997;15.012;0.013
10.007;15.009;0.007
10.006;15.011;0.013
10.008;15.011;0.013
10.008;15.013;0.006
10.003;15.015;0.008
10.007;15.012;0.011
10.001;15.009;0.011
10.008;15.011;0.009
10.002;15.007;0.023
10.003;15.016;0.005
10.006;15.011;0.001
10.01;15.009;0.015
10.004;15.015;0.007
10.013;15.013;0.001
10.009;15.01;0.011
10.006;15.01;0.008
9.998;15.013;0.018
10.004;15.012;0.003
10.008;15.012;0.009
10.008;15.013;0.009
10.006;15.01;0.01
9.999;15.011;0.014
10.012;15.014;0.019
10.004;15.015;0.005
10.007;15.012;0.022
10.003;15.016;0.023
10.003;15.015;0.02
10.004;15.014;0.004
9.999;15.011;0.01
10.008;15.013;0.002
10.003;14.985;0.001
10;14.987;0.009
10.006;14.986;0.011
9.998;14.989;0.013
9.997;14.989;0.006
10.006;14.985;0.006
9.995;14.987;0.017
10.001;14.983;0.015
10.002;14.987;0.015
9.999;14.988;0.014
9.997;14.985;0.019
9.996;14.988;0.01
9.999;14.987;0.012
9.996;14.985;0.005
9.996;14.987;0.019
9.999;14.988;0.005
10.001;14.982;0.003
10.006;14.99;0.013
10.002;14.983;0.007
9.996;14.986;0.017
10.002;14.984;0.004
9.997;14.988;0.014
9.997;14.987;0.005
10.002;14.987;0.014
9.994;14.984;0.011
9.995;14.987;0.014
10.004;14.989;0.013
9.999;14.985;0.016
9.999;14.985;0.007
10;14.986;0.016
9.997;14.989;0.013
9.995;14.985;0.02
9.998;14.988;0.015
10.002;14.987;0.002
10.003;14.984;0.007
9.999;14.99;0.013
9.999;14.99;0.007
10.001;14.985;0.008
10.003;14.988;0.013
9.998;14.986;0.004
10;14.985;0.011
9.996;14.988;0.019
10;14.987;0.012
10.006;14.986;0.01
9.995;14.988;0.011
9.995;14.984;0.015
10.003;14.99;0.007
9.998;14.984;0.007
10.003;14.987;0.016
10.004;14.986;0.008
10.003;14.985;0.003
9.997;14.989;0.024
9.999;14.986;0.014
9.997;14.987;0.013
9.993;14.988;0.001
10.004;14.989;0.019
9.993;14.988;0.012
9.996;14.988;0.012
9.998;14.987;0.008
10;14.987;0.012
10;14.986;0.015
9.997;14.989;0.006
10;14.985;0.015
9.997;14.988;0
10.001;14.992;0.002
10.003;14.987;0.014
10.001;14.99;0.011
10.001;14.987;0.008
10.008;14.986;0.018
9.996;14.99;0.004
10;14.99;0.004
9.997;14.989;0.001
10.001;14.99;0.011
10.001;14.985;0.012
9.998;14.987;0.022
9.996;14.985;0.004
9.998;14.989;0.001
10;14.993;0.016
9.996;14.988;0.005
9.995;14.987;0.012
9.998;14.984;0.007
9.994;14.988;0.007
9.995;14.988;0.004
9.998;14.991;0.007
9.994;14.988;0.008
10.001;14.985;0.02
9.994;14.989;0.01
10;14.989;0.014
10;14.982;0.012
9.997;14.988;0.004
10;14.987;0.012
9.998;14.986;0.013
10;14.988;0.02
9.998;14.987;0.013
9.996;14.988;0.018
9.997;14.992;0.01
9.996;14.988;0.011
9.997;14.99;0.005
10;14.99;0.01
10.001;14.984;0.016
10;14.989;0.01
9.999;14.986;0.01
9.996;14.991;0.01
9.999;14.988;0.004
9.999;14.989;0.012
9.997;14.992;0.008
10.001;14.989;0.014
9.996;14.991;0.005
10.001;14.987;0.018
9.998;14.986;0.014
9.995;14.988;0.019
9.992;14.991;0.007
9.994;14.989;0.003
10;14.988;0.021
10.002;14.99;0.009
10;14.988;0.006
9.995;14.989;0
10.003;14.986;0.015
9.998;14.991;0.015
10.007;14.988;0.004
9.993;14.989;0.016
9.998;14.988;0.013
9.998;14.991;0.011
9.999;14.991;0
9.994;14.985;0.021
9.997;14.989;0.011
10;14.988;0.014
10;14.986;0.016
9.999;14.989;0.01
9.998;14.99;0.014
9.998;14.992;0.015
9.996;14.987;0.01
9.994;14.989;0.008
10;14.987;0.017
10;14.989;0.009
10;14.987;0.006
9.995;14.993;0.014
9.995;14.988;0.019
10.003;14.989;0.015
9.996;14.987;0
9.999;14.99;0.003
9.995;14.989;0.012
9.998;14.989;0.011
9.998;14.986;0.004
10;14.988;0.011
10.003;14.988;0.006
9.995;14.989;0.005
10.003;14.992;0.006
10.001;14.989;0.012
10.001;14.993;0.006
10.001;14.987;0.019
9.998;14.987;0.021
10;14.991;0.001
10.001;14.989;0.013
9.998;14.986;0.026
9.998;14.989;0.011
9.994;14.993;0.006
9.997;14.989;0.006
9.998;14.988;0.003
10.005;14.989;0.006
9.998;14.992;0.013
9.996;14.989;0.019
10.001;14.993;0.005
9.993;14.993;0.014
10;14.99;0.006
9.997;14.99;0.005
9.995;14.989;0.024
9.995;14.992;0.001
9.994;14.991;0.012
10.004;14.992;0.011
9.994;14.992;0.013
9.994;14.99;0.005
9.997;14.988;0.006
10;14.991;0.018
9.997;14.99;0.025
9.997;14.992;0.011
10.001;14.99;0.016
9.999;14.99;0.005
10.003;14.993;0.02
10.002;14.993;0.016
9.997;14.99;0.014
9.997;14.987;0.004
10.002;14.989;0.015
10.005;14.992;0.013
9.998;14.991;0.004
10.001;14.991;0.008
9.991;14.99;0.01
9.995;14.991;0.002
9.998;14.989;0.015
10.004;14.989;0.005
10.001;14.988;0.011
9.999;14.991;0.009
9.999;14.99;0.007
9.992;14.992;0.01
9.997;14.99;0.016
9.998;14.988;0.005
10.002;14.991;0.017
9.996;14.992;0.003
9.996;14.991;0.015
9.998;14.992;0.014
10;14.99;0.006
9.994;14.989;0.014
9.998;14.99;0.004
9.99;14.992;0.012
9.996;14.992;0.013
10;14.991;0.008
9.994;14.988;0.01
9.999;14.992;0.012
10.001;14.993;0.008
9.998;14.995;0.014
9.996;14.989;0.009
10;14.992;0.015
10;14.99;0.002
9.998;14.986;0.009
9.998;14.989;0.01
10.001;14.993;0.011
9.995;14.988;0.003
10.003;14.988;0.002
10;14.993;0.003
9.999;14.989;0.007
10;14.991;0.008
10;14.993;0.003
9.998;14.995;0.01
10.003;14.991;0.015
10.001;14.992;0.007
9.996;14.991;0.007
9.997;14.991;0.006
10;14.99;0.006
9.999;14.993;0.009
9.992;14.991;0.014
9.999;14.989;0.014
10.004;14.992;0.019
9.994;14.991;0.012
9.995;14.99;0.01
9.995;14.993;0.006
9.996;14.995;0.018
9.998;14.995;0.002
9.999;14.989;0.005
9.993;14.993;0.001
10;14.992;0.005
10;14.991;0.009
9.998;14.993;0.015
10;14.996;0.014
10;14.989;0.001
9.995;14.991;0.014
10.002;14.993;0.007
9.996;14.995;0.008
9.998;14.993;0.022
10.001;14.991;0.023
9.999;14.993;0.009
9.999;14.992;0.014
10.001;14.995;0.007
9.997;14.996;0.019
9.995;14.991;0.002
10;14.993;0.007
9.995;14.993;0.011
9.993;14.992;0.011
9.999;14.993;0.011
9.996;14.994;0.006
9.995;14.99;0.003
9.997;14.99;0.005
9.99;14.992;0.001
9.998;14.99;0.016
10.001;14.994;0.011
10;14.989;0.014
9.992;14.994;0.005
10.003;14.995;0.011
9.996;14.995;0.007
9.998;14.99;0.009
10.006;14.994;0.005
10;14.994;0.017
9.996;14.992;0.004
10.001;14.991;0
10.001;14.994;0.015
9.995;14.992;0.01
9.999;14.994;0.005
9.999;14.994;0.009
9.996;14.99;0
9.998;14.993;0.013
9.999;14.992;0.002
10.001;14.993;0.015
9.998;14.994;0.013
10;14.994;0.014
9.992;14.994;0.006
9.999;14.992;0.012
10.002;14.994;0.009
10.002;14.993;0.011
10.003;14.993;0.018
10.002;14.993;0.015
9.999;14.991;0.008
9.997;14.994;0.022
9.997;14.994;0.009
9.998;14.995;0
9.998;14.99;0
9.995;14.997;0.009
9.998;14.992;0.016
9.999;14.99;0.008
9.996;14.998;0.009
10.003;14.995;0.005
10.004;14.997;0.015
9.996;14.992;0.007
9.999;14.992;0.012
10.001;14.99;0.003
9.998;14.991;0.008
10;14.991;0.006
9.996;14.995;0.003
9.995;14.991;0.012
10.001;14.995;0.009
10.002;14.995;0.013
9.998;14.993;0.013
9.995;14.996;0.017
9.999;14.994;0.007
10.001;14.993;0.006
9.988;14.996;0.011
10;14.99;0.011
10.002;14.994;0.002
9.997;14.993;0.014
9.995;14.997;0.012
10.006;14.994;0.007
9.999;14.993;0.019
10;14.997;0.01
9.994;14.998;0.007
9.996;14.991;0.013
9.999;14.991;0.012
9.997;14.992;0.006
10.003;14.994;0.007
9.998;14.996;0.012
10.003;14.994;0.017
10;14.998;0.01
9.998;14.996;0.011
10.002;14.994;0.014
10.001;14.993;0.012
10;14.994;0.006
10.002;14.995;0.013
9.999;14.997;0.007
10.003;14.997;0.02
9.995;14.994;0.007
9.998;14.992;0.002
10.002;14.992;0.014
10;14.992;0.01
10;14.994;0.002
9.998;14.996;0.003
9.999;14.999;0.017
9.998;14.995;0.005
10.006;14.994;0.007
9.999;14.993;0.008
10.001;14.995;0.01
10.007;14.997;0.016
10.001;14.996;0.014
10.003;14.994;0.011
10.008;14.994;0.012
10.004;14.995;0.006
9.997;14.991;0.02
10.003;14.992;0.01
9.994;14.992;0.011
10.001;14.996;0.013
9.994;14.998;0.02
9.995;14.996;0.007
10.004;14.995;0.008
9.999;14.995;0.01
10.003;14.997;0.006
9.998;14.993;0.01
9.995;14.995;0.005
10.008;14.993;0.01
10.004;14.994;0.023
10.001;14.994;0.011
10.001;14.995;0.001
10.007;14.998;0.002
10.007;14.994;0.021
10;14.998;0.015
10;14.994;0.006
10.003;14.998;0.017
9.999;14.994;0.017
10.007;14.995;0.013
10;14.995;0.014
10;14.995;0.007
10.01;14.998;0.002
10.003;14.996;0.003
10;14.994;0.012
9.998;14.993;0.002
10.002;14.994;0.005
10.004;14.997;0.02
10.006;14.995;0.012
10.003;14.993;0.007
9.999;14.998;0.015
10.003;14.996;0.008
9.999;14.999;0.022
9.998;14.995;0.008
10.005;14.997;0.006
10.002;14.996;0.012
10.001;14.997;0.021
10.001;14.994;0.012
10.001;14.996;0.004
10.005;14.996;0.011
9.996;14.998;0.017
10.008;14.997;0.015
10;14.994;0.019
9.998;14.997;0.006
10.004;14.998;0.011
10.003;14.997;0.014
10.004;14.994;0.017
10.004;14.995;0.018
10.009;14.994;0.018
10.005;14.998;0.021
9.995;14.996;0.007
10.005;14.996;0.004
10.003;14.998;0.011
10.002;15;0.005
10.003;14.998;0.016
10.006;14.996;0.015
9.999;14.997;0.013
10.007;14.997;0.003
10.004;14.99;0.016
9.997;14.996;0.01
10.006;14.995;0.004
10.001;14.997;0.008
10.002;14.998;0.016
10.004;14.995;0.012
10.004;14.999;0.012
10.004;14.998;0.012
10.001;14.997;0.005
10.005;14.995;0.016
10;14.997;0.02
10;14.997;0.016
10.005;14.997;0.024
9.999;14.996;0.011
10.001;14.998;0.018
10.006;15;0.006
10.006;14.997;0.013
10.006;14.993;0.021
10.003;14.998;0.009
10.011;14.994;0.009
10.003;14.995;0.003
10.004;14.994;0.011
10.008;14.997;0.016
10.005;14.995;0.006
10.002;14.999;0.012
10.007;14.997;0.008
10.008;14.996;0.018
10.003;14.999;0.009
10.008;14.998;0.01
10.007;14.996;0.017
9.999;14.999;0.014
10.008;14.997;0.012
10.003;14.995;0.013
10.002;14.997;0.009
10.005;14.999;0.01
10.001;14.997;0.007
10.008;14.995;0.01
10.001;14.994;0.007
10.005;14.994;0.012
10.007;14.999;0.002
10.005;14.998;0.013
10.002;15;0.017
10.005;14.994;0.005
10.004;14.993;0.015
10.008;14.999;0.014
10.008;14.997;0.011
10.01;14.997;0.001
10.004;14.996;0.012
10.001;14.998;0.006
10.008;14.996;0.009
10.005;14.999;0.008
10.007;14.999;0.023
10.002;14.996;0.012
10.005;14.995;0.01
10.007;14.999;0.004
10.007;14.997;0.019
9.999;14.998;0.003
10.003;15.001;0.024
10.007;14.994;0.01
10.006;15;0.004
10.003;15.001;0.017
9.996;14.997;0.004
10.002;14.997;0.008
10.006;14.997;0.005
10.004;14.996;0.013
10.001;14.998;0.012
10.007;14.995;0.023
10.006;14.994;0.004
10.004;15.001;0.022
10.007;14.995;0.018
10.011;15;0.001
10.004;14.998;0
9.998;14.995;0.013
10.008;14.997;0.01
10.006;15.002;0.007
10.01;14.997;0.005
10.002;14.996;0.016
10.008;15.001;0.004
10.006;14.999;0.013
10.006;14.998;0.005
10.004;14.998;0.007
10.004;14.995;0.012
10.008;14.995;0.008
10.007;14.998;0.019
10.002;15.001;0.006
10.011;15.001;0.001
10.012;14.997;0.013
10.008;14.995;0.016
10.01;14.994;0.014
10.015;15.001;0.012
10.024;14.997;0.009
10.016;14.997;0.017
10.014;14.998;0.012
10.019;14.998;0.007
10.013;14.996;0.006
10.014;14.999;0.008
10.013;15;0.006
10.015;14.995;0.006
10.02;14.998;0.007
10.016;14.996;0.012
10.01;14.998;0.023
10.01;14.998;0.005
10.014;15.002;0.018
10.011;15.003;0.018
10.015;14.998;0.012
10.021;14.998;0.013
10.017;15;0.007
10.015;14.998;0.004
10.015;14.998;0.015
10.014;15.001;0.001
10.015;14.998;0.016
10.015;14.996;0.017
10.014;14.998;0.016
10.012;14.998;0.011
10.017;14.997;0.004
10.012;15;0.001
10.012;14.999;0.008
10.017;14.999;0.021
10.015;15.001;0.014
10.011;14.998;0.007
10.017;14.997;0.015
10.018;15.002;0.024
10.019;15.001;0.025
10.013;14.998;0.013
10.016;14.996;0.014
10.017;14.999;0.001
10.014;15.001;0.013
10.016;15.001;0.018
10.013;15;0.017
10.012;14.999;0.008
10.02;15;0.01
10.015;14.996;0.015
10.012;15.003;0.013
10.017;14.999;0.01
10.016;15;0.011
10.013;14.999;0.013
10.018;14.998;0.024
10.015;15;0.013
10.02;14.999;0.001
10.018;14.999;0.008
10.016;14.998;0.007
10.017;15.001;0.009
10.017;15.001;0.02
10.02;15.001;0.008
10.011;14.999;0.006
10.017;14.999;0.015
10.012;15;0.007
10.014;14.999;0.009
10.023;15;0.007
10.021;15;0.013
10.02;14.996;0.016
10.02;14.998;0.004
10.014;15;0.003
10.015;14.997;0.005
10.021;15.003;0.002
10.013;14.998;0.002
10.021;15.001;0.017
10.018;15.004;0.001
10.016;15.002;0.013
10.014;15.001;0.007
10.018;15.005;0.004
10.013;15.003;0.014
10.014;15.002;0.013
10.015;15;0.017
10.021;15.001;0.003
10.017;14.998;0.011
10.017;15.003;0.005
10.014;15.001;0.004
10.025;14.999;0.013
10.008;15.002;0.019
10.021;14.999;0.005
10.014;15.001;0.016
10.02;14.999;0.021
10.019;15;0.014
10.018;14.997;0.004
10.018;14.998;0.013
10.021;15.003;0.014
10.018;14.996;0.017
10.02;15.001;0.025
10.018;15.002;0.019
10.016;15;0.008
10.016;15.003;0.007
10.018;15.003;0.004
10.024;15.004;0.014
10.017;14.999;0.011
10.022;14.998;0.012
10.013;14.999;0.005
10.022;15.004;0.015
10.018;15.001;0.012
10.014;15.001;0.007
10.015;15.002;0.01
10.02;15.002;0.011
10.022;15.001;0.023
10.019;15.003;0.011
10.019;15.003;0.007
10.019;15.001;0.008
10.017;14.997;0.008
10.02;15;0.017
10.012;15.002;0.01
10.023;15.002;0.014
10.021;14.999;0.009
10.019;15.003;0.006
10.021;15.001;0.018
10.023;15.001;0.005
10.017;15.004;0.011
10.019;14.997;0.011
10.017;15.001;0.011
10.019;15.002;0.007
10.017;14.998;0.013
10.021;15.003;0.021
10.021;15.007;0.003
10.018;15;0.009
10.013;15.001;0.01
10.023;15.001;0.001
10.017;15.004;0.016
10.019;15.003;0.008
10.021;15;0.014
10.016;15.003;0.012
10.02;15.002;0.013
10.015;14.999;0.011
10.019;15.003;0.007
10.023;15;0.004
10.018;15.003;0.013
10.018;15;0.012
10.017;15.002;0.013
10.017;15;0.004
10.024;15.001;0.006
10.016;15;0.009
10.025;14.999;0.01
10.016;15.001;0.009
10.02;15.003;0.009
10.018;15.001;0.024
10.023;15.002;0.011
10.019;15.004;0.01
10.011;15.002;0.007
10.018;15;0.012
10.022;15.008;0.002
10.017;15.004;0.01
10.014;15.003;0.01
10.016;14.998;0.01
10.022;14.997;0.004
10.018;15.004;0.007
10.018;14.999;0.015
10.023;15.001;0.011
10.021;15.001;0.011
10.015;15.003;0.008
10.022;15.002;0.019
10.017;15.004;0.024
10.02;15.001;0.007
10.016;15.001;0.01
10.022;15.004;0.011
10.019;15.002;0.015
10.02;15;0.01
10.017;15.003;0.01
10.017;15.005;0.011
10.024;15.004;0.02
10.019;15.001;0.01
10.018;15.005;0.013
10.014;15.005;0.022
10.022;14.999;0.019
10.02;15.004;0.008
10.018;15.003;0.005
10.017;15.002;0.014
10.02;15.005;0.018
10.021;15.003;0.015
10.023;15.004;0.012
10.017;15.006;0.007
10.02;15.007;0.008
10.02;15;0.006
10.018;15.001;0.007
10.02;14.998;0.016
10.021;15.005;0.003
10.017;15.004;0.002
10.022;15.005;0.02
10.016;15.003;0.009
10.019;15.003;0.01
10.022;15.002;0.01
10.018;15.005;0.013
10.021;15.005;0.018
10.023;15.003;0.011
10.022;15;0.007
